Parent_Object,cmodel,Objection-Locaton,Label,Title,Creator,Contributors,Type,Genre,Genre-URI,Date-Created,Year,Season,Date-Captured,Publisher,Language-Code,Language-Text,Format,Format-URI,File-Format,Dimensions,Digital-Origin,Description-Abstract,Subject-Topic,Website,Rights,Volume-Number,Issue-Number
,islandora:sp-audioCModel,Go-Getters-Littau-7-5-Edit-converted.mp3,,GO Getters Episode #29: Jeremy Littau,Lehigh University,Jeremy Littau,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2023-08-10,2023,6,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,41:27,born digital,"Artificial intelligence will radically reshape our jobs, our lives, and our concept of what it means to be human. Associate Professor of Journalism and Communication Jeremy Littau sits down with Joe Buck for a conversation about generative artificial intelligence tools, from ChatGPT to Dall-E and beyond: how they work, what they bring to the classroom, and how journalism and the humanities are positioned to meet the challenges and opportunities of this moment of technological transformation.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,6,29
,islandora:sp-audioCModel,Lisa-Getzler-Complete-converted.mp3,,GO Getters Episode #28: Lisa Getzler,Lehigh University,Lisa Getzler,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2023-05-24,2023,5,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,34:09,born digital,"How do you empower students to develop entrepreneurial mindsets? Can design thinking change the way we change the world? And what, at the end of the day, is success? Since 2001, Lisa Getzler, executive director of the Baker Institute for Entrepreneurship, Creativity & Innovation, has been a key part of developing the answers to those questions and building the dynamic ecosystem of entrepreneurship at Lehigh. Learn more about her journey — from a life in the theater to the work that’s allowing students to unlock their potential and create the future.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,5,28
,islandora:sp-audioCModel,John-Mullins-Podcast-edited-converted.mp3,,GO Getters Episode #27: John Mullins ’67,Lehigh University,John Mullins ’67,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2023-05-12,2023,5,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,40:28,born digital,"Entrepreneur, professor, and author John Mullins ’67 is out to break the rules. His decades of experience growing businesses like The Gap have informed new thinking — and now a new book — about counter-conventional mindsets that can help drive success. Hear about the business approaches that fly in the face of traditional business wisdom, common mistakes, and his advice for budding entrepreneurs.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,5,27
,islandora:sp-audioCModel,Flinchbaugh-Podcast-edited-v2-1-converted.mp3,,GO Getters Episode #26: Jamie Flinchbaugh ’94,Lehigh University,Jamie Flinchbaugh ’94,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2023-05-05,2023,5,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,37:51,born digital,"Staring at a problem won’t change it. Instead, experiment. Ask a question. Build something out. That “rigor of momentum” helps take ideas to fruition, according to entrepreneur and mentor Jamie Flinchbaugh ’94. Learn more about his South Mountain roots, perspectives on risk, and commitment to mentorship — and scholarships — at Lehigh. https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,5,26
,islandora:sp-audioCModel,Chris-Kauzmann-Final-converted.mp3,,GO Getters Episode #25: Chris Kauzmann ’13 ’14G,Lehigh University,Chris Kauzmann ’13 ’14G,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2023-03-27,2023,5,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,31:25,born digital,"With an open-door policy and a knack for mentorship, Baker Institute Innovator-in-Residence Chris Kauzmann ’13 ’14G helps guide curious Lehigh students as they undertake their own entrepreneurial journeys. With Joe Buck, he explores his own roots and passions, shares insights into the entrepreneurial mindset, and brags (in the very best way) about how Lehigh students and alumni are solving problems in today’s world. https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,5,25
,islandora:sp-audioCModel,Ventures-Lab-Final-converted.mp3,,GO Getters Episode #24: Ventures Lab Founders,Lehigh University,Ventures Lab Founders,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2023-03-20,2023,5,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,44:57,born digital,"A revolutionary approach to hair care. Innovations in vaginal health. Humane and high-tech traps to outsmart pests. Three young alumni entrepreneurs — Giana Jarrah ’22, Sareena Karim ’22, and Brian Quispe ’20 ’22G — are sharing their solutions with the world after launching companies with the help of Lehigh’s new Ventures Lab. Find out where their ideas came from, their pitfalls and highlights, and what challenges them the most in this far-ranging episode.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,5,24
,islandora:sp-audioCModel,Mark-Wilson-Final-1-converted.mp3,,GO Getters Episode #23: Mark Wilson,Lehigh University,Mark Wilson,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2023-03-06,2023,5,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,30:13,born digital,"Mark Wilson is the executive director of Lehigh’s Zoellner Arts Center, now celebrating a vibrant 25th season. Listen as he talks with host Joe Buck about mentorship, community connections, and the importance of saying yes to new opportunities in this conversation — complete with inspiring advice, a few puns, and even a little opera.https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,5,23
,islandora:sp-audioCModel,Kristin-20Agatone-20Final-converted.mp3,,GO Getters Episode #22: Kristin Agatone,Lehigh University,Kristin Agatone,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2022-11-10,2022,5,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,35:18,born digital,"Allocations. Asset classes. Annual distributions. Kristin Agatone, Lehigh’s chief investment officer, dives into the nuances of managing a $2 billion endowment in this conversation with host Joe Buck. Listen as she talks about her search for investments in the “sweet spot,” the importance of leveraging Lehigh’s portfolio for the long term, and her own challenges and successes as a woman in the finance industry. https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,5,22
,islandora:sp-audioCModel,Raihan-20Alam-20Final-20Podcast-20-1-converted.mp3,,GO Getters Episode #21: Raihan Alam ’23,Lehigh University,Raihan Alam ’23,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2022-09-26,2022,5,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,32:10,born digital,"Raihan Alam ’23 is drawn to controversial conversation — and committed to making them meaningful. As a founder of the Douglass Dialogues program, he champions respectful dialogue among students and faculty on tough topics. As a social psychologist, he’s a published author on research examining the factors that contribute to hostility on social media. Listen to learn how Alam’s work is bolstering the Lehigh community and changing perspectives on how humans perceive and understand each other. https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,5,21
,islandora:sp-audioCModel,Helble-20edit2-3-15-converted.mp3,,GO Getters Episode #20: Joseph J. Helble ’82,Lehigh University,Joseph J. Helble ’82,sound recording-nonmusical,podcasts,http://vocab.getty.edu/page/aat/300310137,2022-06-08,2022,4,2023-09-28,Lehigh University,eng,English,MP3,http://vocab.getty.edu/page/aat/300312047,audio/mpeg,37:19,born digital,"Joseph J. Helble ’82 isn’t just Lehigh’s 15th president. He’s also an engineer, an educator, a runner, a one-time Gryphon, a great home chef, and — of course — a go-getter. Get to know what makes him tick as he looks back on his earliest days at Lehigh, reflects on his journey to the presidency, and sets his sights on the future of the institution and our community. https://gocampaign.lehigh.edu/GOGettersAbout GO GETTERSGO Getters put ideas into action, creating change that has impact on our communities and our world. Join us for straight-up, no-nonsense conversations with leaders on the forefront of change — within and beyond the university — who are dedicated to bringing direction to a dream. ",,,http://rightsstatements.org/vocab/InC/1.0/,4,20
